State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
TX,96,713,no,yes,49,270.03,67,45.91,155.68,15,13.23,306.75,29,13.8,8.8,11,2.38,3,no
MO,126,305,yes,no,34,228.17,127,38.79,233.97,132,19.89,295.12,198,13.28,7.85,7,2.12,6,no
NH,118,212,yes,no,0,291.35,62,49.53,220.47,37,18.74,333.22,9,14.99,11.29,8,3.05,8,yes
WY,48,408,yes,no,23,341.42,112,58.04,6.24,177,0.53,276.54,98,12.44,4.84,16,1.31,1,no
OH,89,415,yes,no,35,165.96,89,28.21,189.41,37,16.1,230.86,193,10.39,1.58,7,0.43,4,no
ID,232,619,no,no,5,23.34,80,3.97,30.97,102,2.63,299.8,93,13.49,0.49,17,0.13,8,no
HI,237,503,yes,yes,40,16.83,102,2.86,9.23,55,0.78,26.48,38,1.19,5.03,19,1.36,8,yes
HI,117,206,yes,yes,45,103.48,191,17.59,276.92,62,23.54,161.99,36,7.29,1.83,16,0.49,5,no
OH,129,646,no,yes,43,326.39,159,55.49,90.53,119,7.7,346.24,130,15.58,6.73,5,1.82,6,no
OK,16,206,yes,yes,30,183.12,115,31.13,119.23,47,10.13,269.36,88,12.12,15.46,9,4.17,8,yes
VA,189,702,yes,yes,19,95.13,12,16.17,22.43,104,1.91,336.73,161,15.15,14.33,0,3.87,9,yes
MO,231,619,yes,yes,23,139.71,193,23.75,62.83,58,5.34,272.87,165,12.28,12.22,0,3.3,7,no
TX,192,713,yes,no,24,209.51,123,35.62,267.96,76,22.78,306.21,13,13.78,17.05,8,4.6,9,no
LA,191,214,yes,no,35,228.53,146,38.85,172.74,171,14.68,247.29,191,11.13,5.64,19,1.52,5,yes
NJ,69,619,no,no,20,53.87,151,9.16,308.23,126,26.2,266.18,38,11.98,17.7,2,4.78,5,no
RI,22,212,no,yes,29,341.96,87,58.13,139.03,54,11.82,183.11,181,8.24,7.98,5,2.15,6,no
ID,93,702,no,no,23,190.67,10,32.41,94.05,54,7.99,323.48,129,14.56,8.02,6,2.17,6,yes
MT,247,512,yes,no,43,47.49,186,8.07,121.66,128,10.34,288.76,42,12.99,8.11,8,2.19,1,yes
WV,195,202,yes,yes,41,312.77,14,53.17,249.47,135,21.2,295.36,180,13.29,1.96,4,0.53,8,yes
TX,76,646,yes,yes,29,26.12,9,4.44,194.25,126,16.51,235.55,130,10.6,19.51,15,5.27,3,yes
MT,154,503,no,yes,21,317.71,40,54.01,316.47,131,26.9,106.6,168,4.8,2.77,1,0.75,9,yes
MT,144,510,no,yes,27,348.8,154,59.3,210.76,84,17.91,12.47,7,0.56,6.82,2,1.84,8,yes
ID,179,415,no,yes,6,245.15,187,41.68,172.56,114,14.67,327.48,95,14.74,6.39,2,1.73,9,yes
RI,229,312,yes,no,34,269.66,72,45.84,275.01,180,23.38,205.14,190,9.23,1.49,19,0.4,2,yes
VA,86,408,yes,yes,27,118.06,51,20.07,331.64,57,28.19,104.35,64,4.7,3.05,9,0.82,4,no
RI,185,404,yes,yes,13,329.55,127,56.02,124.55,36,10.59,52.2,78,2.35,0.9,2,0.24,4,yes
OK,29,305,yes,no,9,185.4,27,31.52,87.46,48,7.43,290.33,131,13.06,5.85,14,1.58,6,yes
FL,206,212,no,yes,15,256.34,64,43.58,215.68,66,18.33,292.78,67,13.18,17.33,13,4.68,3,yes
OH,220,510,yes,no,15,323.44,16,54.98,174.61,18,14.84,285.08,91,12.83,6.79,3,1.83,3,no
WY,69,404,no,yes,30,341.31,94,58.02,346.21,128,29.43,225.78,9,10.16,2.47,9,0.67,0,no
NJ,47,646,no,yes,41,291.62,171,49.58,161.83,28,13.76,128.11,74,5.76,12.91,10,3.49,5,no
NY,241,619,no,yes,24,106.06,137,18.03,26.02,86,2.21,106.42,177,4.79,19.93,10,5.38,3,yes
IN,94,646,yes,yes,12,338.29,62,57.51,342.08,32,29.08,2.99,150,0.13,4.65,7,1.26,9,no
OK,238,510,yes,yes,5,219.84,174,37.37,295.26,118,25.1,291.76,60,13.13,5.59,8,1.51,9,yes
NJ,190,214,yes,no,43,325.72,37,55.37,62.39,179,5.3,30.6,46,1.38,19.44,7,5.25,4,yes
OH,244,510,yes,no,8,236.64,69,40.23,316.61,168,26.91,220.76,2,9.93,3.58,11,0.97,8,yes
IN,197,404,yes,no,44,107.53,103,18.28,119.23,150,10.13,176.43,102,7.94,10.22,16,2.76,3,yes
WV,204,415,no,yes,35,129.51,52,22.02,131.99,132,11.22,184.34,16,8.3,4.79,14,1.29,0,no
OH,144,415,yes,no,42,192.67,171,32.75,317.24,70,26.97,324.35,21,14.6,18.65,18,5.04,8,yes
NH,218,702,no,yes,19,276.51,118,47.01,185.54,184,15.77,11.07,115,0.5,19.63,19,5.3,4,yes
MO,218,408,yes,no,17,111.29,73,18.92,48.22,133,4.1,270.69,90,12.18,16.29,5,4.4,9,yes
IN,176,206,no,no,42,202.91,53,34.49,129.17,176,10.98,18.22,143,0.82,6.3,4,1.7,6,no
MO,85,646,yes,no,20,120.97,19,20.56,252.73,21,21.48,13.35,103,0.6,8.07,7,2.18,2,yes
FL,39,415,yes,yes,3,285.52,78,48.54,60.96,76,5.18,150.44,2,6.77,4.85,17,1.31,3,no
MA,100,206,yes,yes,49,163.35,30,27.77,206.58,3,17.56,22.08,51,0.99,17.82,14,4.81,9,no
HI,33,646,yes,no,32,26.85,134,4.56,243.35,71,20.68,276.2,110,12.43,18.29,2,4.94,8,no
WV,222,415,no,yes,26,58.12,57,9.88,120.35,191,10.23,185.35,160,8.34,8.38,13,2.26,9,no
TX,101,212,no,no,6,21.39,104,3.64,242.86,164,20.64,10.16,41,0.46,13.13,14,3.55,0,no
RI,23,404,yes,yes,5,174.76,9,29.71,309.47,158,26.3,14.18,129,0.64,3.31,12,0.89,4,yes
NY,10,917,yes,no,14,37.22,9,6.33,165.24,164,14.05,214.43,38,9.65,8.7,19,2.35,7,yes
LA,246,917,yes,yes,17,39.95,38,6.79,134.02,127,11.39,282.14,45,12.7,12.63,8,3.41,9,no
NH,69,206,yes,yes,31,329.37,155,55.99,87.91,44,7.47,153.23,47,6.9,7.71,16,2.08,6,yes
NH,100,214,no,no,10,305.43,157,51.92,211.47,135,17.97,194.1,26,8.73,7.15,18,1.93,3,no
MA,34,214,no,no,19,158.23,36,26.9,307.95,167,26.18,279.94,14,12.6,0.02,3,0.01,6,yes
LA,180,305,yes,yes,23,345.03,118,58.66,113.63,92,9.66,213.68,6,9.62,16.09,19,4.34,0,yes
IA,223,312,no,no,14,0.07,66,0.01,138.68,4,11.79,78.67,108,3.54,17.79,9,4.8,5,no
MA,138,312,no,yes,47,214.89,42,36.53,142.32,155,12.1,214.57,184,9.66,19.39,2,5.24,8,yes
HI,147,202,no,no,6,215.75,51,36.68,196.28,103,16.68,219.9,41,9.9,14.39,18,3.89,2,no
OH,186,212,no,no,20,160.11,100,27.22,79.94,80,6.79,256.94,8,11.56,10.98,8,2.96,3,yes
IA,96,415,yes,yes,41,138.93,55,23.62,287.77,86,24.46,217.31,104,9.78,5.39,4,1.46,7,yes
HI,1,619,yes,no,25,159.38,75,27.09,103.46,136,8.79,339.23,133,15.27,19.99,13,5.4,4,yes
ID,248,512,yes,yes,43,145.24,67,24.69,246.88,129,20.98,69.05,184,3.11,11.8,6,3.19,4,yes
ID,69,214,yes,no,13,255.67,136,43.46,179.63,62,15.27,332.88,75,14.98,13.62,5,3.68,0,no
WV,237,702,yes,yes,36,47.37,105,8.05,205.06,50,17.43,188.42,29,8.48,13.65,7,3.69,5,yes
OK,4,718,yes,no,20,69.17,124,11.76,62.86,115,5.34,235.18,182,10.58,16.91,1,4.57,1,yes
HI,16,415,no,no,17,63.18,91,10.74,257.26,112,21.87,34.81,83,1.57,0.19,13,0.05,0,no
IN,24,713,yes,yes,4,91.86,22,15.62,66.02,30,5.61,133.2,125,5.99,4.4,6,1.19,5,yes
MA,80,408,yes,no,2,183.84,190,31.25,39.72,6,3.38,269.28,83,12.12,13.31,2,3.59,4,yes
IA,247,206,yes,yes,22,38.92,108,6.62,191.34,157,16.26,247.42,53,11.13,17.9,19,4.83,4,no
NH,2,510,no,no,25,303.86,60,51.66,248.25,185,21.1,14.05,109,0.63,13.71,5,3.7,8,no
MA,241,312,no,yes,36,104.08,167,17.69,17.51,2,1.49,191.31,26,8.61,8.27,13,2.23,9,no
HI,220,415,no,no,23,56.89,43,9.67,24.29,50,2.06,30.9,83,1.39,7.23,11,1.95,9,no
NJ,128,702,yes,yes,48,236.47,151,40.2,280.94,55,23.88,348.55,186,15.68,14.76,17,3.99,2,yes
NY,160,917,no,yes,18,13.33,178,2.27,283.16,72,24.07,314.05,6,14.13,14.82,11,4.0,0,yes
WY,219,212,yes,yes,24,216.99,185,36.89,85.86,9,7.3,7.38,167,0.33,12.14,6,3.28,7,no
VA,84,408,yes,no,20,244.37,160,41.54,215.33,60,18.3,300.53,103,13.52,5.83,4,1.57,4,no
NY,152,917,no,yes,11,75.22,15,12.79,155.11,49,13.18,321.8,71,14.48,18.5,11,5.0,4,no
OK,140,646,yes,no,40,14.69,21,2.5,221.44,121,18.82,123.74,1,5.57,11.04,8,2.98,7,no
CO,178,312,yes,yes,32,127.28,56,21.64,302.01,174,25.67,251.83,141,11.33,15.81,10,4.27,7,yes
MT,163,510,yes,no,49,34.51,61,5.87,27.95,0,2.38,154.74,137,6.96,4.29,3,1.16,1,no
OH,124,702,no,yes,3,40.77,106,6.93,272.29,184,23.14,229.33,49,10.32,6.88,13,1.86,2,no
VA,33,212,yes,yes,41,88.99,70,15.13,172.56,37,14.67,119.11,145,5.36,17.49,11,4.72,9,yes
FL,161,312,no,no,6,103.41,89,17.58,197.44,189,16.78,112.9,17,5.08,1.0,17,0.27,9,no
MA,189,619,yes,yes,21,185.49,71,31.53,228.88,78,19.45,148.55,15,6.68,10.25,6,2.77,0,no
VA,179,702,yes,yes,32,237.44,69,40.36,322.92,88,27.45,50.95,51,2.29,9.63,0,2.6,2,yes
NY,171,702,no,yes,16,207.47,29,35.27,19.85,197,1.69,290.9,196,13.09,15.02,12,4.06,3,yes
TX,101,305,no,yes,23,51.93,102,8.83,10.32,81,0.88,122.04,179,5.49,5.64,15,1.52,6,yes
MO,12,510,yes,no,33,60.23,150,10.24,62.39,192,5.3,140.05,158,6.3,4.38,4,1.18,8,yes
VA,67,214,no,yes,27,307.57,31,52.29,345.26,189,29.35,312.92,83,14.08,18.52,18,5.0,4,yes
LA,65,619,yes,no,42,195.42,85,33.22,250.28,183,21.27,173.82,150,7.82,11.43,8,3.09,0,yes
CO,161,646,yes,no,40,304.48,56,51.76,215.12,66,18.29,190.49,95,8.57,2.09,8,0.56,1,yes
RI,168,713,no,yes,38,130.04,108,22.11,16.46,16,1.4,334.77,41,15.06,3.86,11,1.04,9,yes
NH,74,619,yes,yes,21,215.04,8,36.56,307.69,126,26.15,310.35,189,13.97,19.98,17,5.39,1,no
WY,43,713,no,yes,48,183.28,30,31.16,284.46,111,24.18,59.31,112,2.67,3.91,9,1.06,8,no
FL,44,646,no,yes,16,111.69,70,18.99,232.68,135,19.78,165.63,177,7.45,12.21,16,3.3,9,yes
TX,29,503,yes,no,33,164.47,136,27.96,118.7,59,10.09,339.95,123,15.3,8.4,18,2.27,6,yes
VA,141,415,no,no,5,175.87,12,29.9,24.68,39,2.1,130.33,14,5.86,17.71,10,4.78,1,yes
HI,12,305,yes,yes,45,70.27,185,11.95,203.01,88,17.26,130.05,89,5.85,15.1,15,4.08,0,no
RI,95,503,no,yes,5,110.25,130,18.74,251.89,189,21.41,68.26,171,3.07,11.94,7,3.22,4,yes
MT,46,503,no,yes,33,276.99,34,47.09,32.98,40,2.8,40.01,41,1.8,0.21,14,0.06,0,no
IN,130,305,yes,yes,0,320.53,20,54.49,221.82,139,18.85,259.11,44,11.66,17.6,10,4.75,8,no
OK,243,202,no,yes,9,125.93,63,21.41,100.23,114,8.52,269.51,93,12.13,8.89,6,2.4,2,no
RI,242,305,yes,yes,20,107.44,94,18.26,267.49,99,22.74,339.15,106,15.26,18.63,1,5.03,1,no
TX,35,512,yes,yes,4,68.32,179,11.61,188.87,116,16.05,270.7,162,12.18,9.91,18,2.68,5,yes
IN,215,415,yes,no,1,237.47,33,40.37,45.16,181,3.84,85.17,21,3.83,13.88,8,3.75,2,no
TX,81,718,no,yes,21,113.08,120,19.22,184.28,88,15.66,14.04,127,0.63,1.39,17,0.38,4,no
HI,90,212,yes,yes,47,345.71,162,58.77,138.51,92,11.77,344.9,37,15.52,14.9,12,4.02,9,no
NH,8,510,yes,yes,1,113.99,14,19.38,63.12,138,5.37,119.16,96,5.36,6.76,0,1.83,7,yes
ID,93,713,no,yes,9,137.95,119,23.45,294.53,59,25.04,109.19,197,4.91,7.03,18,1.9,9,yes
MT,154,214,no,no,33,211.17,95,35.9,3.86,67,0.33,317.08,191,14.27,2.37,12,0.64,1,no
OH,202,206,no,yes,15,280.59,5,47.7,109.24,77,9.29,204.78,100,9.22,2.94,13,0.79,4,yes
FL,90,512,yes,yes,47,164.33,108,27.94,4.41,45,0.37,75.2,6,3.38,3.72,16,1.0,7,yes
MT,162,202,no,yes,38,147.93,96,25.15,33.6,37,2.86,311.18,43,14.0,6.56,19,1.77,0,yes
LA,115,214,yes,no,21,348.47,31,59.24,103.98,188,8.84,347.68,75,15.65,17.84,0,4.82,9,yes
FL,105,415,no,no,11,3.67,179,0.62,18.99,16,1.61,30.34,6,1.37,7.37,4,1.99,9,yes
WV,135,619,yes,yes,23,313.27,82,53.26,208.82,65,17.75,301.79,193,13.58,14.49,19,3.91,3,yes
NY,196,407,yes,no,46,52.2,155,8.87,30.4,199,2.58,136.68,59,6.15,1.65,13,0.45,4,yes
RI,58,206,yes,no,39,275.07,117,46.76,245.6,35,20.88,183.43,0,8.25,11.82,17,3.19,9,yes
MT,245,214,yes,no,37,216.28,191,36.77,18.42,73,1.57,320.19,61,14.41,9.64,12,2.6,2,no
RI,114,702,no,yes,9,119.65,78,20.34,20.76,6,1.76,340.68,86,15.33,19.56,11,5.28,1,no
NH,237,512,no,yes,34,305.86,77,52.0,106.86,15,9.08,91.76,88,4.13,16.92,14,4.57,2,yes
RI,75,202,yes,yes,48,4.52,146,0.77,313.8,13,26.67,74.5,17,3.35,9.1,3,2.46,4,no
WY,157,702,no,no,31,79.34,106,13.49,224.49,79,19.08,28.18,107,1.27,15.5,8,4.19,6,no
OH,120,312,no,yes,6,198.41,125,33.73,269.55,24,22.91,196.63,134,8.85,3.86,2,1.04,1,no
CO,164,510,no,yes,20,123.04,14,20.92,49.54,104,4.21,4.76,114,0.21,11.25,10,3.04,6,yes
WV,217,619,yes,yes,19,213.63,133,36.32,291.94,3,24.81,144.16,53,6.49,1.49,14,0.4,5,no
OK,21,415,no,yes,25,8.44,72,1.43,2.85,156,0.24,25.68,66,1.16,6.96,15,1.88,6,no
IN,249,407,yes,no,3,40.76,100,6.93,74.57,126,6.34,141.83,92,6.38,4.52,6,1.22,6,yes
VA,164,512,yes,yes,45,44.48,97,7.56,215.63,55,18.33,13.98,137,0.63,14.38,6,3.88,8,no
FL,138,407,no,no,21,66.25,165,11.26,131.34,5,11.16,292.33,188,13.15,9.8,8,2.65,6,no
WY,101,512,no,yes,14,160.77,25,27.33,344.47,128,29.28,73.41,58,3.3,15.02,16,4.06,5,no
IN,201,415,yes,yes,39,263.25,91,44.75,10.62,166,0.9,114.91,186,5.17,10.31,12,2.78,9,yes
FL,152,718,yes,yes,20,316.94,124,53.88,349.51,128,29.71,304.52,68,13.7,1.73,8,0.47,7,no
FL,192,212,yes,yes,14,292.38,178,49.7,218.27,114,18.55,261.19,190,11.75,14.71,8,3.97,6,no
TX,227,503,no,yes,21,68.91,72,11.71,195.55,190,16.62,76.66,97,3.45,16.66,19,4.5,5,no
OH,177,646,yes,no,27,154.4,122,26.25,20.83,56,1.77,25.16,7,1.13,18.07,11,4.88,3,yes
OK,99,646,yes,no,13,69.79,52,11.86,95.67,194,8.13,250.49,54,11.27,11.44,18,3.09,6,no
IA,240,917,no,yes,26,92.57,183,15.74,323.63,64,27.51,136.75,133,6.15,15.07,14,4.07,7,no
IN,36,917,yes,no,40,176.24,186,29.96,123.99,64,10.54,268.13,128,12.07,15.04,17,4.06,7,no
ID,210,718,no,no,39,23.84,197,4.05,231.58,102,19.68,155.85,55,7.01,3.11,7,0.84,3,no
IN,241,415,no,yes,27,76.36,77,12.98,349.82,20,29.73,121.1,103,5.45,3.28,5,0.89,9,yes
IA,231,206,no,no,25,327.38,91,55.65,92.07,157,7.83,157.92,113,7.11,1.42,5,0.38,8,no
HI,96,510,yes,yes,48,163.14,185,27.73,201.63,32,17.14,262.0,87,11.79,6.4,2,1.73,2,no
NY,152,206,no,no,1,155.89,87,26.5,243.75,175,20.72,315.78,137,14.21,9.47,2,2.56,8,yes
FL,151,917,no,yes,24,5.1,12,0.87,57.62,21,4.9,17.42,107,0.78,19.96,1,5.39,2,no
WY,190,718,yes,yes,2,86.59,42,14.72,52.04,181,4.42,183.44,22,8.25,8.62,4,2.33,6,no
CO,224,415,yes,yes,7,303.2,75,51.54,159.71,109,13.58,11.49,143,0.52,14.52,19,3.92,3,yes
NY,37,305,yes,yes,43,57.62,50,9.8,135.03,3,11.48,163.94,100,7.38,13.87,11,3.74,4,yes
VA,12,404,no,no,32,145.29,18,24.7,249.98,182,21.25,309.85,143,13.94,4.09,5,1.1,2,yes
WY,113,510,yes,no,41,5.02,148,0.85,24.33,171,2.07,126.56,55,5.7,1.17,15,0.32,1,yes
MT,183,510,yes,yes,34,167.42,121,28.46,340.26,139,28.92,326.36,107,14.69,10.92,4,2.95,7,no
NY,13,619,no,no,5,7.36,23,1.25,5.0,73,0.43,220.71,94,9.93,14.01,5,3.78,6,yes
TX,23,214,no,yes,38,286.86,25,48.77,210.46,118,17.89,326.95,5,14.71,19.97,3,5.39,6,yes
RI,217,619,yes,no,22,288.7,172,49.08,196.92,179,16.74,265.01,29,11.93,7.17,13,1.94,7,no
IA,99,214,yes,yes,24,275.71,155,46.87,47.15,92,4.01,36.2,190,1.63,17.93,2,4.84,0,yes
RI,105,404,yes,yes,49,99.18,119,16.86,52.82,64,4.49,80.9,128,3.64,7.64,16,2.06,7,no
IN,30,305,no,yes,42,293.03,81,49.82,277.44,64,23.58,137.96,50,6.21,13.79,4,3.72,9,no
MA,17,407,no,yes,18,190.05,99,32.31,310.65,9,26.41,59.54,105,2.68,11.97,5,3.23,4,no
WV,113,503,yes,no,4,130.83,156,22.24,99.06,145,8.42,173.22,88,7.79,1.06,19,0.29,7,no
MT,62,408,no,no,10,218.87,16,37.21,153.29,46,13.03,164.98,126,7.42,1.57,3,0.42,8,yes
MA,84,415,yes,yes,11,4.32,67,0.73,124.25,65,10.56,334.69,45,15.06,0.42,12,0.11,1,yes
WY,112,512,no,no,9,50.04,43,8.51,25.39,48,2.16,151.8,120,6.83,7.42,7,2.0,2,no
LA,217,407,no,yes,7,259.8,60,44.17,235.62,199,20.03,274.97,148,12.37,14.92,10,4.03,5,yes
WV,86,206,yes,no,23,85.46,122,14.53,288.82,21,24.55,329.67,98,14.84,3.46,18,0.93,8,yes
WV,141,212,no,no,27,209.3,92,35.58,106.71,85,9.07,306.95,165,13.81,12.12,4,3.27,9,yes
FL,187,206,yes,no,40,134.79,195,22.91,346.56,25,29.46,73.03,68,3.29,5.78,4,1.56,9,yes
RI,19,718,no,yes,35,299.18,73,50.86,26.55,136,2.26,173.61,62,7.81,15.94,2,4.3,7,yes
HI,177,718,no,no,36,333.35,152,56.67,231.63,148,19.69,121.71,49,5.48,15.97,1,4.31,5,no
CO,100,512,yes,no,20,309.25,66,52.57,156.88,94,13.33,139.95,11,6.3,15.51,2,4.19,4,yes
NH,140,512,yes,no,7,94.72,110,16.1,156.31,190,13.29,126.28,68,5.68,10.5,14,2.84,2,yes
IA,189,512,no,no,8,67.96,1,11.55,160.18,106,13.62,289.23,72,13.02,5.69,6,1.54,3,no
MA,233,212,no,yes,46,166.05,88,28.23,90.54,133,7.7,158.25,43,7.12,16.19,2,4.37,6,yes
WV,147,212,yes,yes,14,2.57,176,0.44,250.45,13,21.29,183.29,51,8.25,3.72,14,1.0,6,yes
IA,76,512,no,yes,47,9.03,197,1.54,252.55,160,21.47,343.86,8,15.47,5.8,10,1.57,2,no
IN,9,212,no,yes,45,193.65,25,32.92,98.84,70,8.4,20.99,192,0.94,3.68,15,0.99,3,yes
NY,199,312,no,no,39,182.16,199,30.97,292.36,151,24.85,170.79,117,7.69,13.48,12,3.64,2,yes
LA,28,214,yes,yes,17,348.1,98,59.18,110.9,74,9.43,270.92,9,12.19,13.72,1,3.7,1,yes
IA,206,713,yes,no,41,70.64,26,12.01,253.78,119,21.57,52.91,45,2.38,13.05,19,3.52,5,yes
OH,223,206,no,no,19,90.34,88,15.36,42.35,111,3.6,214.04,102,9.63,8.31,11,2.24,6,yes
WY,128,305,yes,no,5,39.74,145,6.76,59.05,50,5.02,83.81,185,3.77,2.0,6,0.54,3,no
MO,52,619,no,yes,11,321.14,181,54.59,110.53,129,9.4,303.59,36,13.66,18.22,0,4.92,4,yes
RI,83,702,yes,yes,1,272.23,0,46.28,207.86,142,17.67,114.48,51,5.15,10.15,13,2.74,7,no
NJ,111,512,yes,no,6,287.82,188,48.93,225.93,162,19.2,115.17,98,5.18,8.14,9,2.2,8,yes
NJ,144,415,no,no,15,315.97,102,53.71,138.72,35,11.79,209.37,80,9.42,11.78,2,3.18,6,no
WY,117,702,no,yes,2,183.71,130,31.23,27.24,117,2.32,64.25,12,2.89,3.86,10,1.04,9,no
IA,69,415,no,yes,44,157.92,195,26.85,130.77,166,11.12,99.71,133,4.49,2.65,19,0.72,0,no
MO,99,646,yes,no,2,115.64,40,19.66,241.07,3,20.49,145.82,185,6.56,8.11,14,2.19,2,no
FL,140,305,no,yes,26,206.23,164,35.06,234.85,191,19.96,123.77,100,5.57,4.54,5,1.23,4,no
MA,25,619,no,yes,49,159.0,50,27.03,56.07,5,4.77,183.71,127,8.27,4.89,17,1.32,2,no
OH,180,718,yes,no,42,158.05,14,26.87,2.72,184,0.23,209.87,47,9.44,17.85,12,4.82,0,no
HI,123,415,yes,no,39,327.92,7,55.75,263.54,157,22.4,198.33,159,8.92,10.62,14,2.87,1,yes
IA,213,415,yes,no,37,344.41,37,58.55,37.23,109,3.16,228.96,10,10.3,9.67,2,2.61,7,no
FL,228,619,yes,no,32,278.77,113,47.39,28.82,98,2.45,107.71,80,4.85,13.79,14,3.72,6,yes
FL,53,415,no,no,27,264.87,82,45.03,0.95,121,0.08,44.25,4,1.99,19.03,0,5.14,9,yes
TX,151,619,yes,no,0,238.2,55,40.49,151.41,116,12.87,266.28,5,11.98,2.24,9,0.6,2,no
MT,144,404,yes,no,7,58.13,174,9.88,176.14,95,14.97,297.77,116,13.4,16.67,17,4.5,3,no
LA,57,202,no,no,36,20.69,102,3.52,223.18,66,18.97,89.95,148,4.05,11.68,7,3.15,2,yes
NJ,39,415,yes,yes,31,241.75,137,41.1,103.62,119,8.81,142.48,41,6.41,2.92,11,0.79,3,yes
RI,109,702,yes,yes,47,255.08,101,43.36,248.65,14,21.14,174.5,80,7.85,5.94,4,1.6,7,yes
FL,181,305,no,no,42,16.44,77,2.79,59.27,16,5.04,186.66,154,8.4,9.65,0,2.61,8,no
MA,42,713,no,no,36,324.82,176,55.22,291.2,17,24.75,230.82,2,10.39,13.82,7,3.73,6,yes
OK,186,408,no,no,3,31.9,168,5.42,200.15,114,17.01,14.56,59,0.66,4.85,4,1.31,8,yes
ID,167,404,no,no,29,100.07,82,17.01,204.36,146,17.37,252.52,193,11.36,10.7,16,2.89,8,no
FL,142,312,no,yes,5,235.34,29,40.01,73.42,75,6.24,21.69,92,0.98,13.69,14,3.7,6,yes
OK,223,312,yes,no,45,59.46,4,10.11,25.94,87,2.2,163.9,48,7.38,8.97,3,2.42,6,yes
HI,122,305,yes,yes,18,19.4,118,3.3,162.65,196,13.83,289.68,33,13.04,17.26,12,4.66,7,no
NJ,133,702,no,no,31,115.9,198,19.7,215.46,151,18.31,157.93,36,7.11,17.39,16,4.7,9,yes
MO,163,212,no,yes,8,268.09,30,45.58,33.27,90,2.83,52.18,41,2.35,9.41,12,2.54,2,no
MO,215,202,no,yes,11,144.79,179,24.61,332.69,47,28.28,344.76,192,15.51,19.46,1,5.25,7,no
HI,221,718,no,yes,10,228.54,22,38.85,343.15,157,29.17,311.25,187,14.01,1.51,3,0.41,0,yes
IA,235,312,yes,no,45,202.87,47,34.49,190.91,14,16.23,269.96,0,12.15,0.07,1,0.02,5,yes
OK,75,503,no,yes,15,7.78,108,1.32,332.52,174,28.26,144.03,186,6.48,7.61,11,2.05,1,no
IN,146,404,no,yes,0,345.99,39,58.82,62.81,122,5.34,64.35,131,2.9,12.02,18,3.25,6,yes
MA,239,305,no,yes,44,14.5,5,2.47,8.9,126,0.76,329.49,102,14.83,12.58,17,3.4,2,yes
WY,76,206,no,no,20,338.73,37,57.58,13.79,171,1.17,186.32,141,8.38,9.53,9,2.57,9,no
VA,9,415,yes,no,29,192.45,168,32.72,205.63,97,17.48,298.32,109,13.42,2.5,4,0.68,4,yes
NH,74,510,yes,yes,12,337.11,99,57.31,21.57,154,1.83,119.73,145,5.39,3.41,10,0.92,9,no
NH,186,917,no,yes,33,40.16,26,6.83,335.49,83,28.52,117.35,33,5.28,17.04,0,4.6,1,yes
NH,236,503,yes,yes,3,171.64,68,29.18,49.68,191,4.22,344.94,0,15.52,17.36,2,4.69,0,yes
IN,145,917,yes,no,27,59.33,56,10.09,106.65,40,9.07,182.64,52,8.22,13.48,16,3.64,4,yes
CO,230,206,no,no,37,17.84,16,3.03,287.88,95,24.47,49.24,21,2.22,13.28,14,3.59,8,no
ID,7,702,yes,yes,30,216.14,70,36.74,76.56,67,6.51,76.89,188,3.46,11.95,13,3.23,8,yes
TX,174,407,no,no,26,72.72,46,12.36,85.04,4,7.23,168.68,149,7.59,4.06,14,1.1,6,no
TX,141,713,yes,no,4,205.69,78,34.97,224.81,52,19.11,14.86,177,0.67,8.57,15,2.31,8,no
IA,168,415,yes,yes,24,39.33,109,6.69,96.63,121,8.21,161.89,15,7.29,13.92,3,3.76,3,yes
HI,170,407,yes,no,2,116.2,12,19.75,76.11,135,6.47,146.63,155,6.6,10.75,18,2.9,2,yes
VA,137,646,no,yes,32,273.57,138,46.51,88.96,21,7.56,272.77,118,12.27,0.37,7,0.1,3,no
IA,178,510,yes,yes,3,152.97,123,26.0,171.73,105,14.6,124.23,85,5.59,19.07,5,5.15,6,yes
HI,27,312,yes,yes,24,219.71,108,37.35,338.13,6,28.74,343.89,197,15.48,16.9,15,4.56,7,no
NH,122,407,no,yes,19,226.61,89,38.52,291.28,149,24.76,63.27,41,2.85,5.21,2,1.41,1,yes
NJ,194,619,yes,yes,33,295.31,85,50.2,99.61,45,8.47,206.85,193,9.31,12.33,7,3.33,4,no
NH,5,718,yes,yes,25,113.72,91,19.33,127.18,29,10.81,31.39,70,1.41,18.46,4,4.98,4,no
MA,29,407,yes,yes,4,240.55,23,40.89,162.58,125,13.82,256.85,116,11.56,1.92,4,0.52,8,yes
WV,165,512,no,no,34,336.57,72,57.22,342.63,100,29.12,348.16,162,15.67,10.06,11,2.72,2,no
WV,166,408,no,yes,27,255.59,3,43.45,60.34,143,5.13,286.7,19,12.9,9.12,0,2.46,5,yes
RI,83,646,yes,no,28,171.45,112,29.15,125.12,78,10.64,194.5,107,8.75,8.2,6,2.21,9,yes
